Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;ABC FARMACEUTICI SpA;033482047;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;DOC GENERICI Srl;033551072;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;SANDOZ SpA;033731050;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;ALMUS Srl;033868011;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;PENSA PHARMA SpA;034583031;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;MYLAN SpA;034738043;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;FARMACEUTICI T.S. Srl;035005014;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;ACTAVIS ITALY SpA;035853011;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;AUROBINDO PHARMA ITALIA Srl;036035018;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;LABORATORI ALTER Srl;036110017;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;FIDIA FARMACEUTICI SpA;037290020;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ALOVIR*35 cpr 800 mg;25,04;FARMAC.CABER SpA;028402055;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;AMODIVYR*35 cpr 800 mg;25,04;RO-FARM.di DE MAIO SALVATORE&C;033471018;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;AVIX*35 cpr 800 mg;25,04;I.BIR.N Srl Ist.Biot.Nazionale;028619031;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;EFRIVIRAL 800*35 cpr 800 mg;25,04;AESCULAPIUS FARMACEUTICI Srl;027534128;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ESAVIR 800*35 cpr 800 mg;25,04;CRINOS SpA;028338046;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;NEVIRAN*35 cpr 800 mg;25,04;S.F.GROUP Srl;028425078;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;VORACLOR*35 cpr 800 mg;25,04;NEW RESEARCH Srl;033943010;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;DRAVYR*35 cpr 800 mg;27,56;D.R.DRUG RESEARCH Srl;028242093;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;CYCLOVIRAN*35 cpr 800 mg;29,04;SIGMATAU IND.FARM.RIUNITE SpA;025299126;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;31,59;ALTERNA FARMACEUTICI Srl;033410046;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;CITIVIR*35 cpr 800 mg;31,59;C.T. LAB.FARMACEUTICO Srl;028528077;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ZOVIRAX*35 cpr 800 mg;52,01;GLAXOSMITHKLINE SpA;025298124;26E;X;;
Aciclovir;ACICLOVIR 3% 4,5G UNGUENTO USO OFTALMICO;ACY*ung oftalm 4,5 g 3%;5,53;FARMIGEA SpA;028231025;26F;X;;
Aciclovir;ACICLOVIR 3% 4,5G UNGUENTO USO OFTALMICO;CYCLOVIRAN*ung oftalm 4,5 g 3%;6,70;SIGMATAU IND.FARM.RIUNITE SpA;025299049;26F;X;;
Aciclovir;ACICLOVIR 3% 4,5G UNGUENTO USO OFTALMICO;ZOVIRAX OFTALMICO*ung oftalm 4,5 g 3%;7,36;GLAXOSMITHKLINE SpA;025298047;26F;X;;
Aciclovir;ACICLOVIR 250MG 3 UNITA' USO PARENTERALE;SANAVIR*3 flaconi EV 250 mg;46,60;HOSPIRA ITALIA Srl;033209014;26H;X;;
Aciclovir;ACICLOVIR 250MG 5 UNITA' USO PARENTERALE;ACICLOVIR*5 fiale EV 250 mg;80,54;RECORDATI SpA;033672027;26I;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 75MG 30 UNITA' USO ORALE;CARDIRENE*30 bust polv os 75 mg;2,32;SANOFI-AVENTIS SpA;028717041;H4A;;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;DOC GENERICI Srl;042179010;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;EG SpA;042180048;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;SANDOZ SpA;042200016;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;GENTAZETAN*30 cpr gastrores 100 mg;1,41;S.F.GROUP Srl;042207011;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;CARDIOASPIRIN*30 cpr gastrores 100 mg;2,17;BAYER SpA;024840074;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 160MG 30 UNITA' USO ORALE;CARDIRENE*30 bust polv os 160 mg;3,00;SANOFI-AVENTIS SpA;028717015;H4C;;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 300MG 30 UNITA' USO ORALE;CARDIRENE*30 bust polv os 300 mg;3,00;SANOFI-AVENTIS SpA;028717027;H4D;;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 1.000MG 6 UNITA' USO PARENTERALE;FLECTADOL*6 fiale IM EV 1 g + 6 fiale solv 5 ml;10,97;SANOFI-AVENTIS SpA;022620191;H4E;;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' POLVERE USO ORALE;CARDIRENE*os polv 30 bust 100 mg;2,40;SANOFI-AVENTIS SpA;028717039;H4F;;;
Acido acetilsalicilico/magnesio idrossido/algeldrato;ACIDO ACETILSALICILICO+MAGNESIO IDROSSIDO+ALGELDRATO 300MG 20 UNITA' USO ORALE;ASCRIPTIN*20 cpr div 300 mg;2,32;SANOFI-AVENTIS SpA;023075029;H5A;;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ACIDO ALENDRONICO*4 cpr 70 mg;15,37;FG Srl;037515018;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ACIDO ALENDRONICO*4 cpr 70 mg;15,37;AUROBINDO PHARMA ITALIA Srl;041256227;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ACIDO ALENDRONICO*4 cpr riv 70 mg;15,37;GERMED PHARMA SpA;037443013;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;15,37;RATIOPHARM ITALIA Srl;037085089;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;15,37;TEVA ITALIA Srl;037089024;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;15,37;EG SpA;037194089;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;15,37;MYLAN SpA;037198013;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;15,37;SANDOZ SpA;037295021;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;15,37;DOC GENERICI Srl;037520018;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;15,37;RANBAXY ITALIA SpA;038006108;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;15,37;PENSA PHARMA SpA;038007100;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;15,37;ACTAVIS ITALY SpA;038800025;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;15,37;ACCORD HEALTHCARE ITALIA Srl;039370022;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr riv 70 mg;15,37;ALMUS Srl;037499011;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr riv 70 mg;15,37;SANDOZ SpA;038408023;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr riv 70 mg;15,37;LABORATORI ALTER Srl;038471025;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDROS*4 cpr 70 mg;15,37;ABIOGEN PHARMA SpA;029051075;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENIC*4 cpr 70 mg;15,37;EPIFARMA Srl;037521010;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ASTON*4 cpr riv 70 mg;15,37;BENEDETTI & CO.SpA;037444015;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;BINOSTO*4 cpr eff 70 mg;15,37;ABIOGEN PHARMA SpA;040246011;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;DORYX*4 cpr 70 mg;15,37;S.F.GROUP Srl;037644010;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;DRALENOS*4 cpr 70 mg;15,37;I.B.N.SAVIO Srl;038031148;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;GLAMOR*4 cpr riv 70 mg;15,37;AGIPS FARMACEUTICI Srl;037500016;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;LOSS*4 cpr riv 70 mg;15,37;SO.SE.PHARM Srl;038296012;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;NEADRALE*4 cpr 70 mg;15,37;NEAPHARMA Srl;038649012;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;NOFRATTIL*4 cpr riv 70 mg;15,37;S.F.GROUP Srl;038297014;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;PORODRON*4 cpr 70 mg;15,37;PHARMEG Srl;037519016;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;REALEN*4 cpr riv 70 mg;15,37;IST.CHIM.INTERNAZ. RENDE Srl;037461011;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ADRONAT*4 cpr 70 mg;18,37;NEOPHARMED GENTILI Srl;029053079;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ACIDO ALENDRONICO*4 cpr 70 mg;19,36;SIGMATAU GENERICS SpA;037514015;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;GENALEN*4 cpr 70 mg;19,37;NEOPHARMED GENTILI Srl;034172054;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;FOSAMAX*4 cpr 70 mg;20,07;MERCK SHARP & DOHME SpA;029052077;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;DRONAL*4 cpr 70 mg;20,37;SIGMATAU IND.FARM.RIUNITE SpA;029054071;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 10MG 14 UNITA' USO ORALE;ALENDROS*14 cpr 10 mg;11,20;ABIOGEN PHARMA SpA;029051036;CQB;;Toscana;
Acido alendronico;ACIDO ALENDRONICO 10MG 14 UNITA' USO ORALE;ADRONAT*14 cpr 10 mg;17,22;NEOPHARMED GENTILI Srl;029053030;CQB;;Toscana;
Acido alendronico;ACIDO ALENDRONICO 10MG 14 UNITA' USO ORALE;DRONAL*14 cpr 10 mg;17,22;SIGMATAU IND.FARM.RIUNITE SpA;029054032;CQB;;Toscana;
Acido alendronico;ACIDO ALENDRONICO 10MG 14 UNITA' USO ORALE;FOSAMAX*14 cpr 10 mg;17,22;MERCK SHARP & DOHME SpA;029052038;CQB;;Toscana;
Acido alendronico;ACIDO ALENDRONICO 10MG 14 UNITA' USO ORALE;GENALEN*14 cpr 10 mg;17,22;NEOPHARMED GENTILI Srl;034172015;CQB;;Toscana;
Acido alendronico;ACIDO ALENDRONICO 70MG 100ML 4 UNITA' USO ORALE;BONASOL*os soluz 4 flaconi 100 ml 70 mg;16,18;BRUNO FARMACEUTICI SpA;040622033;CQC;;;
Acido alendronico;ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE;OSTEUM*12 cpr 70 mg;36,00;PHARMACARE Srl;038317044;CQD;;;
Acido alendronico/colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG 2.800UI 4 UNITA' USO ORALE;ADROVANCE*4 cpr 70 mg + 2.800 UI;25,31;ADDENDA PHARMA Srl;037603026;H6A;;;
Acido alendronico/colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG 2.800UI 4 UNITA' USO ORALE;FOSAVANCE*4 cpr 70 mg + 2.800 UI;25,31;MSD ITALIA Srl;036845028;H6A;;;
Acido alendronico/colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG 2.800UI 4 UNITA' USO ORALE;VANTAVO*4 cpr 70 mg + 2.800 UI;25,31;NEOPHARMED SpA;039641028;H6A;;;
Acido alendronico/colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG 5.600UI 4 UNITA' USO ORALE;ADROVANCE*4 cpr 70 mg + 5.600 UI;25,31;ADDENDA PHARMA Srl;037603077;H6B;;;
Acido alendronico/colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG 5.600UI 4 UNITA' USO ORALE;FOSAVANCE*4 cpr 70 mg + 5.600 UI;25,31;MSD ITALIA Srl;036845079;H6B;;;
Acido alendronico/colecalciferolo;ACIDO ALENDRONICO+COLECALCIFEROLO 70MG 5.600UI 4 UNITA' USO ORALE;VANTAVO*4 cpr 70 mg + 5.600 UI;25,31;NEOPHARMED SpA;039641081;H6B;;;
Acido carglumico;ACIDO CARGLUMICO 200MG 15 UNITA' USO ORALE;CARBAGLU*15 cpr dispers 200 mg;1566,94;ORPHAN EUROPE Srl;035983016;BRO;;;
Acido carglumico;ACIDO CARGLUMICO 200MG 60 UNITA' USO ORALE;CARBAGLU*60 cpr dispers 200 mg;6267,76;ORPHAN EUROPE Srl;035983028;BRP;;;
Acido carglumico;ACIDO CARGLUMICO 200MG 5 UNITA' USO ORALE;CARBAGLU*5 cpr dispers 200 mg;522,31;ORPHAN EUROPE Srl;035983030;BRQ;;;
Acido clodronico;ACIDO CLODRONICO 300MG 6 UNITA' USO PARENTERALE;CLASTEON*6 fiale EV 300 mg 10 ml;63,18;ABIOGEN PHARMA SpA;026372033;38A;X;;
Acido clodronico;ACIDO CLODRONICO 300MG 6 UNITA' USO PARENTERALE;CLODRONATO*6 fiale EV 300 mg 10 ml;63,18;ABC FARMACEUTICI SpA;035129030;38A;X;;
Acido clodronico;ACIDO CLODRONICO 300MG 6 UNITA' USO PARENTERALE;CLODY*6 fiale EV 300 mg 10 ml;63,18;PROMEDICA Srl;034294037;38A;X;;
Acido clodronico;ACIDO CLODRONICO 300MG 6 UNITA' USO PARENTERALE;DIFOSFONAL*6 fiale infus 300 mg 10 ml;63,18;SPA (SOC.PRO.ANTIBIOTICI) SpA;026510038;38A;X;;
